timestamp,lat,lon,alt,speed,heading,battery,mission_current,mission_total
1763992010.558801,47.3979715,8.5461636,0.009,0.014156934805214405,103,100,1,3
1763992011.0588975,47.3979715,8.5461636,0.009,0.014156934805214405,103,100,1,3
1763992011.559016,47.3979708,8.546164,0.047,0.014156934805214405,103,100,1,3
1763992012.0591085,47.3979708,8.546164,0.047,0.014156934805214405,103,100,1,3
1763992012.5592077,47.3979708,8.546164,0.047,0.023161569610238075,103,100,1,3
1763992013.0593047,47.3979708,8.546164,0.047,0.023161569610238075,103,100,1,3
1763992013.5594184,47.3979715,8.5461638,-0.012,0.023161569610238075,103,100,1,3
1763992014.0595293,47.3979715,8.5461638,-0.012,0.023161569610238075,103,100,1,3
1763992014.559648,47.3979712,8.5461639,0.055,0.015283698216080666,103,100,1,3
1763992015.0597637,47.3979712,8.5461639,0.055,0.015283698216080666,103,100,1,3
1763992015.559881,47.397971,8.5461639,0.049,0.015283698216080666,103,100,1,3
1763992016.0600214,47.397971,8.5461639,0.049,0.015283698216080666,103,100,1,3
